"area","autonomous_region","description","has_doorman","has_garden","has_lift","has_parking","has_storage","has_swimming_pool","is_residential","latitude","longitude","neighbors_per_floor","number","postal_code","province","reference","street","structures","total_floors","town","typology","year_built"
5,Extremadura,Esc.2 5º 12,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0056JQ",Paseo Extremadura,"[{""area"": 5, ""floor"": ""05"", ""door"": ""12"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
0,Galicia,Suelo,,,,,,,false,42.259457,-8.69863,,"0",36207,pontevedra,"4987406NG2748N0001ZR",Rua Doctor Corbal,"[]",,vigo-pontevedra,M,
0,Extremadura,Inmueble,,,,true,,,true,38.97106,-5.8068337,1,"3",6700,badajoz,"6975208TJ5167N0001SX",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Inmueble,,,,true,,,true,38.970837,-5.806848,1,"4",6700,badajoz,"6974202TJ5167S0001XU",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Suelo,,,,,,,false,38.44686,-6.059338,,"39",0,badajoz,"6798503QC5569N0001AQ",Paseo Extremadura,"[]",,llera-badajoz,M,
0,Extremadura,Inmueble,,,,true,,,true,38.970833,-5.806735,1,"6",6700,badajoz,"6974203TJ5167S0001IU",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Inmueble,,,,true,,,true,38.971046,-5.806487,1,"7",6700,badajoz,"6975609TJ5167N0001FX",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Inmueble,,,,true,,,true,38.97082,-5.8065014,1,"8",6700,badajoz,"6974601TJ5167S0001YU",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
316,Extremadura,Inmueble,,,,true,,,true,38.971043,-5.806375,1,"9",6700,badajoz,"6975608TJ5167N0001TX",Paseo Extremadura,"[{""area"": 79, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 79, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 79, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 79, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}]",3,villanueva-de-la-serena-badajoz,V,1993
372,Extremadura,Inmueble,,,,true,,,true,38.97104,-5.806262,1,"11",6700,badajoz,"6975607TJ5167N0001LX",Paseo Extremadura,"[{""area"": 93, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 93, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 93, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 93, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Inmueble,,,,true,,,true,38.97079,-5.805821,1,"18",6700,badajoz,"7074203TJ5177S0001QA",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Inmueble,,,,true,,,true,38.970814,-5.806277,1,"12",6700,badajoz,"6974603TJ5167S0001QU",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
12,Castilla La Mancha,Inmueble,,,,,,,false,38.969666,-1.8666968,,"677-A",2006,albacete,"368011EXJ0138B0001HE",Terrenos Diseminados,"[{""area"": 12, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""IEL""}]",,albacete-albacete,I,
0,Extremadura,Inmueble,,,,true,,,true,38.971035,-5.806027,1,"13",6700,badajoz,"7075109TJ5177N0001PE",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
0,Extremadura,Inmueble,,,,true,,,true,38.970802,-5.806047,1,"14",6700,badajoz,"7074201TJ5177S0001YA",Paseo Extremadura,"[{""area"": 72, ""floor"": ""-1"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 63, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 72, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""YSP""}, {""area"": -287, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,V,1993
87,Extremadura,Esc.1 1º 01,,,,,true,,false,38.680984,-7.1021748,0,"1",6100,badajoz,"5232322PC6853S0002MP",Paseo Extremadura,"[{""area"": 87, ""floor"": ""01"", ""door"": ""1"", ""typology"": ""AAL""}]",1,olivenza-badajoz,I,1930
